Name,IconUrl
Air Conditioning,https://res.cloudinary.com/daxjoycqb/image/upload/v1708444191/icons/snow-flake_un3acg.svg
Heating,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415106/icons/wlertpgimw8fhls71lcz.svg
Wifi,https://res.cloudinary.com/daxjoycqb/image/upload/v1708443322/icons/wifi_cqt9qw.svg
Ethernet connection,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415706/icons/h3gdaywgdycp0o5nnsjj.svg
TV,https://res.cloudinary.com/daxjoycqb/image/upload/v1708444191/icons/tv_kzcrvd.svg
Refrigerator,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/x2hgiryklprrarvomlfe.svg
Microwave,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415106/icons/plbazx9s9uauerliuhgs.svg
Dishes and silverware,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415457/icons/tuqyohmm6yins567j2hs.svg
Dishwasher,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415706/icons/casvffdcadkixh6zfekl.svg
Stove,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415457/icons/zclfcstuxmhenkrorcad.svg
Oven,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415457/icons/x1ilbiqhyynrpckd3eyy.svg
Coffee maker,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415456/icons/y40wvy6hwdspib2eagyl.svg
Cooking basics,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415840/cooking-tools_yf1dwf.svg
Bed linens,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415104/icons/pjiubdfctqpdahmajtwi.svg
Hangers,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415106/icons/uh5z33wezaopd5pbib9f.svg
Washing Machine,https://res.cloudinary.com/daxjoycqb/image/upload/v1708444191/icons/washing-machine_koyqff.svg
Hair dryer,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/ah6zezzeewtstosv5xl4.svg
Bathroom essentials,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/cky143vqtro19rf6guzd.svg
Iron,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415707/icons/qk6bv5iybvnnajzs2q7m.svg
Freezer,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/x2hgiryklprrarvomlfe.svg
Free street parking,https://res.cloudinary.com/daxjoycqb/image/upload/v1708444191/icons/parking_tegbtj.svg
Free private parking,https://res.cloudinary.com/daxjoycqb/image/upload/v1708444191/icons/parking_tegbtj.svg
Smoke alarm,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/h86akgutu65ugqlcphft.svg
Carbon monoxide alarm,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415706/icons/ccbddoyzvwfhdqjs5n6i.svg
Fire extinguisher,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415706/icons/l18qpjeusxaydapmb3uh.svg
First aid kit,https://res.cloudinary.com/daxjoycqb/image/upload/v1709415105/icons/gp2iy9tvzcojlk9flhfd.svg